"GRANTEE"	"PRIVILEGE"	"ADMIN_OPTION"	"COMMON"	"INHERITED"
"SYS"	"DROP ANY CUBE BUILD PROCESS"	"NO"	"YES"	"NO"
"SYS"	"CREATE CUBE BUILD PROCESS"	"NO"	"YES"	"NO"
"SYS"	"DROP ANY MEASURE FOLDER"	"NO"	"YES"	"NO"
"DBA"	"DELETE ANY MEASURE FOLDER"	"NO"	"YES"	"NO"
"DBA"	"CREATE MEASURE FOLDER"	"NO"	"YES"	"NO"
"SYS"	"SELECT ANY CUBE DIMENSION"	"NO"	"YES"	"NO"
"OLAP_DBA"	"DROP ANY CUBE DIMENSION"	"NO"	"YES"	"NO"
"DBA"	"DELETE ANY CUBE DIMENSION"	"NO"	"YES"	"NO"
"OLAP_DBA"	"CREATE ANY CUBE DIMENSION"	"NO"	"YES"	"NO"
"SYS"	"EXECUTE ASSEMBLY"	"NO"	"YES"	"NO"
"SYS"	"ALTER ANY EDITION"	"NO"	"YES"	"NO"
"DBA"	"ADMINISTER ANY SQL TUNING SET"	"NO"	"YES"	"NO"
"OEM_ADVISOR"	"ADMINISTER SQL TUNING SET"	"NO"	"YES"	"NO"
"SYS"	"SELECT ANY TRANSACTION"	"NO"	"YES"	"NO"
"CTXSYS"	"MANAGE SCHEDULER"	"NO"	"YES"	"NO"
"DBA"	"CREATE ANY JOB"	"NO"	"YES"	"NO"
"SYS"	"DROP ANY RULE"	"YES"	"YES"	"NO"
"DBA"	"ALTER ANY RULE SET"	"NO"	"YES"	"NO"
"DBA"	"CREATE RULE SET"	"NO"	"YES"	"NO"
"AQ_ADMINISTRATOR_ROLE"	"CREATE RULE SET"	"YES"	"YES"	"NO"
"DBA"	"DROP ANY EVALUATION CONTEXT"	"NO"	"YES"	"NO"
"DBA"	"ALTER ANY EVALUATION CONTEXT"	"NO"	"YES"	"NO"
"DBA"	"CREATE EVALUATION CONTEXT"	"NO"	"YES"	"NO"
"SYS"	"FLASHBACK ANY TABLE"	"NO"	"YES"	"NO"
"DBA"	"DEBUG CONNECT ANY"	"NO"	"YES"	"NO"
"DBA"	"DROP ANY CONTEXT"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"DROP ANY CONTEXT"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"MANAGE ANY QUEUE"	"NO"	"YES"	"NO"
"SYS"	"UNDER ANY VIEW"	"NO"	"YES"	"NO"
"SYS"	"CREATE ANY INDEXTYPE"	"NO"	"YES"	"NO"
"SYS"	"CREATE ANY OPERATOR"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"CREATE ANY LIBRARY"	"NO"	"YES"	"NO"
"DBA"	"CREATE LIBRARY"	"NO"	"YES"	"NO"
"SYS"	"EXECUTE ANY TYPE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"CREATE ANY TYPE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"DROP ANY DIRECTORY"	"NO"	"YES"	"NO"
"DBA"	"CREATE ANY MATERIALIZED VIEW"	"NO"	"YES"	"NO"
"DBA"	"ALTER PROFILE"	"NO"	"YES"	"NO"
"SYS"	"CREATE PROFILE"	"NO"	"YES"	"NO"
"SYS"	"DROP ANY TRIGGER"	"NO"	"YES"	"NO"
"DBA"	"ALTER ANY TRIGGER"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"ALTER ANY TRIGGER"	"NO"	"YES"	"NO"
"WMSYS"	"ALTER ANY TRIGGER"	"NO"	"YES"	"NO"
"DBA"	"CREATE TRIGGER"	"NO"	"YES"	"NO"
"CTXSYS"	"CREATE TRIGGER"	"NO"	"YES"	"NO"
"DBA"	"CREATE PROCEDURE"	"NO"	"YES"	"NO"
"RECOVERY_CATALOG_OWNER"	"CREATE PROCEDURE"	"NO"	"YES"	"NO"
"DBA"	"FORCE TRANSACTION"	"NO"	"YES"	"NO"
"SYSBACKUP"	"ALTER DATABASE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"ALTER DATABASE"	"NO"	"YES"	"NO"
"DATAPUMP_IMP_FULL_DATABASE"	"GRANT ANY ROLE"	"NO"	"YES"	"NO"
"EM_EXPRESS_ALL"	"CREATE ROLE"	"NO"	"YES"	"NO"
"SYS"	"DROP PUBLIC DATABASE LINK"	"NO"	"YES"	"NO"
"GSMADMIN_INTERNAL"	"CREATE PUBLIC DATABASE LINK"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"CREATE DATABASE LINK"	"NO"	"YES"	"NO"
"WMSYS"	"ALTER ANY SEQUENCE"	"NO"	"YES"	"NO"
"WMSYS"	"CREATE ANY SEQUENCE"	"NO"	"YES"	"NO"
"CTXAPP"	"CREATE SEQUENCE"	"NO"	"YES"	"NO"
"OLAP_USER"	"CREATE SEQUENCE"	"NO"	"YES"	"NO"
"DBA"	"DROP ANY VIEW"	"NO"	"YES"	"NO"
"SYS"	"CREATE ANY VIEW"	"NO"	"YES"	"NO"
"OLAP_USER"	"CREATE VIEW"	"NO"	"YES"	"NO"
"SYS"	"DROP PUBLIC SYNONYM"	"NO"	"YES"	"NO"
"MDSYS"	"DROP PUBLIC SYNONYM"	"NO"	"YES"	"NO"
"SYS"	"DROP ANY SYNONYM"	"NO"	"YES"	"NO"
"SYS"	"DROP ANY INDEX"	"NO"	"YES"	"NO"
"GGSYS"	"ALTER ANY INDEX"	"NO"	"YES"	"NO"
"WMSYS"	"CREATE ANY INDEX"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"CREATE ANY CLUSTER"	"NO"	"YES"	"NO"
"SYS"	"CREATE CLUSTER"	"NO"	"YES"	"NO"
"DBA"	"UPDATE ANY TABLE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"UPDATE ANY TABLE"	"NO"	"YES"	"NO"
"OLAP_DBA"	"UPDATE ANY TABLE"	"NO"	"YES"	"NO"
"DBA"	"LOCK ANY TABLE"	"NO"	"YES"	"NO"
"DBA"	"DROP ANY TABLE"	"NO"	"YES"	"NO"
"WMSYS"	"ALTER ANY TABLE"	"NO"	"YES"	"NO"
"GSMADMIN_INTERNAL"	"CREATE ANY TABLE"	"NO"	"YES"	"NO"
"WMSYS"	"CREATE ANY TABLE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"DROP ROLLBACK SEGMENT"	"NO"	"YES"	"NO"
"SYS"	"DROP USER"	"NO"	"YES"	"NO"
"EM_EXPRESS_ALL"	"DROP USER"	"NO"	"YES"	"NO"
"SYS"	"UNLIMITED TABLESPACE"	"NO"	"YES"	"NO"
"ORDDATA"	"UNLIMITED TABLESPACE"	"NO"	"YES"	"NO"
"GSMADMIN_INTERNAL"	"DROP TABLESPACE"	"NO"	"YES"	"NO"
"GSMADMIN_INTERNAL"	"ALTER TABLESPACE"	"NO"	"YES"	"NO"
"DBA"	"RESTRICTED SESSION"	"NO"	"YES"	"NO"
"GSMADMIN_INTERNAL"	"ALTER SESSION"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"AUDIT SYSTEM"	"NO"	"YES"	"NO"
"DBA"	"ALTER SYSTEM"	"NO"	"YES"	"NO"
"SYSBACKUP"	"ALTER SYSTEM"	"NO"	"YES"	"NO"
"GSMUSER_ROLE"	"ALTER SYSTEM"	"NO"	"YES"	"NO"
"DBA"	"CREATE LOGICAL PARTITION TRACKING"	"NO"	"YES"	"NO"
"SYSBACKUP"	"ENABLE DIAGNOSTICS"	"NO"	"YES"	"NO"
"DBA"	"ALTER ANY ANALYTIC VIEW"	"NO"	"YES"	"NO"
"DBA"	"CREATE ANY ANALYTIC VIEW"	"NO"	"YES"	"NO"
"SYS"	"CREATE ANALYTIC VIEW"	"NO"	"YES"	"NO"
"DBA"	"CREATE HIERARCHY"	"NO"	"YES"	"NO"
"SYS"	"DROP ANY ATTRIBUTE DIMENSION"	"NO"	"YES"	"NO"
"DBA"	"USE ANY JOB RESOURCE"	"NO"	"YES"	"NO"
"SYS"	"CREATE ANY CREDENTIAL"	"NO"	"YES"	"NO"
"SYS"	"EM EXPRESS CONNECT"	"NO"	"YES"	"NO"
"DBA"	"DROP ANY SQL TRANSLATION PROFILE"	"NO"	"YES"	"NO"
"OLAP_DBA"	"INSERT ANY MEASURE FOLDER"	"NO"	"YES"	"NO"
"SYS"	"DELETE ANY MEASURE FOLDER"	"NO"	"YES"	"NO"
"SYS"	"UPDATE ANY CUBE"	"NO"	"YES"	"NO"
"DBA"	"DROP ANY CUBE"	"NO"	"YES"	"NO"
"OLAP_DBA"	"DROP ANY CUBE"	"NO"	"YES"	"NO"
"DBA"	"CREATE CUBE"	"NO"	"YES"	"NO"
"OLAP_DBA"	"INSERT ANY CUBE DIMENSION"	"NO"	"YES"	"NO"
"SYS"	"DELETE ANY CUBE DIMENSION"	"NO"	"YES"	"NO"
"OLAP_DBA"	"DELETE ANY CUBE DIMENSION"	"NO"	"YES"	"NO"
"SYS"	"CREATE CUBE DIMENSION"	"NO"	"YES"	"NO"
"SYS"	"CHANGE NOTIFICATION"	"NO"	"YES"	"NO"
"SYS"	"ADMINISTER ANY SQL TUNING SET"	"NO"	"YES"	"NO"
"DBA"	"ADMINISTER SQL TUNING SET"	"NO"	"YES"	"NO"
"DBA"	"MANAGE SCHEDULER"	"NO"	"YES"	"NO"
"SCHEDULER_ADMIN"	"EXECUTE ANY PROGRAM"	"YES"	"YES"	"NO"
"SYS"	"CREATE JOB"	"NO"	"YES"	"NO"
"DBA"	"ANALYZE ANY DICTIONARY"	"NO"	"YES"	"NO"
"DBA"	"ALTER ANY RULE"	"NO"	"YES"	"NO"
"SYS"	"IMPORT FULL DATABASE"	"NO"	"YES"	"NO"
"SYS"	"CREATE RULE SET"	"YES"	"YES"	"NO"
"DBA"	"EXECUTE ANY EVALUATION CONTEXT"	"NO"	"YES"	"NO"
"DBA"	"CREATE ANY EVALUATION CONTEXT"	"NO"	"YES"	"NO"
"SYSBACKUP"	"SELECT ANY DICTIONARY"	"NO"	"YES"	"NO"
"OEM_MONITOR"	"SELECT ANY DICTIONARY"	"NO"	"YES"	"NO"
"SYS"	"RESUMABLE"	"NO"	"YES"	"NO"
"SYSBACKUP"	"RESUMABLE"	"NO"	"YES"	"NO"
"LBACSYS"	"ADMINISTER DATABASE TRIGGER"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"ADMINISTER RESOURCE MANAGER"	"NO"	"YES"	"NO"
"APPQOSSYS"	"ADMINISTER RESOURCE MANAGER"	"NO"	"YES"	"NO"
"SYS"	"ALTER ANY OUTLINE"	"NO"	"YES"	"NO"
"RECOVERY_CATALOG_OWNER_VPD"	"DROP ANY CONTEXT"	"NO"	"YES"	"NO"
"AQ_ADMINISTRATOR_ROLE"	"MANAGE ANY QUEUE"	"YES"	"YES"	"NO"
"SYS"	"DROP ANY DIMENSION"	"NO"	"YES"	"NO"
"DBA"	"DROP ANY DIMENSION"	"NO"	"YES"	"NO"
"SYS"	"CREATE ANY DIMENSION"	"NO"	"YES"	"NO"
"DBA"	"CREATE DIMENSION"	"NO"	"YES"	"NO"
"SYS"	"CREATE INDEXTYPE"	"NO"	"YES"	"NO"
"DBA"	"ALTER ANY OPERATOR"	"NO"	"YES"	"NO"
"DBA"	"ALTER ANY LIBRARY"	"NO"	"YES"	"NO"
"SYS"	"CREATE ANY LIBRARY"	"NO"	"YES"	"NO"
"DBA"	"UNDER ANY TYPE"	"NO"	"YES"	"NO"
"DBA"	"EXECUTE ANY TYPE"	"NO"	"YES"	"NO"
"EXP_FULL_DATABASE"	"EXECUTE ANY TYPE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"ALTER ANY TYPE"	"NO"	"YES"	"NO"
"SYS"	"DROP ANY DIRECTORY"	"NO"	"YES"	"NO"
"SYS"	"CREATE ANY DIRECTORY"	"NO"	"YES"	"NO"
"SYS"	"CREATE MATERIALIZED VIEW"	"NO"	"YES"	"NO"
"DBA"	"GRANT ANY PRIVILEGE"	"NO"	"YES"	"NO"
"EM_EXPRESS_ALL"	"GRANT ANY PRIVILEGE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"ALTER RESOURCE COST"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"DROP PROFILE"	"NO"	"YES"	"NO"
"EM_EXPRESS_ALL"	"ALTER PROFILE"	"NO"	"YES"	"NO"
"DBA"	"CREATE PROFILE"	"NO"	"YES"	"NO"
"DV_ACCTMGR"	"CREATE PROFILE"	"NO"	"YES"	"NO"
"WMSYS"	"CREATE ANY PROCEDURE"	"NO"	"YES"	"NO"
"RESOURCE"	"CREATE PROCEDURE"	"NO"	"YES"	"NO"
"CTXSYS"	"CREATE PROCEDURE"	"NO"	"YES"	"NO"
"SYS"	"ALTER DATABASE"	"NO"	"YES"	"NO"
"DBA"	"ALTER DATABASE"	"NO"	"YES"	"NO"
"DATAPUMP_IMP_FULL_DATABASE"	"AUDIT ANY"	"NO"	"YES"	"NO"
"EM_EXPRESS_ALL"	"ALTER ANY ROLE"	"NO"	"YES"	"NO"
"SYS"	"GRANT ANY ROLE"	"NO"	"YES"	"NO"
"SYS"	"DROP ANY ROLE"	"NO"	"YES"	"NO"
"DBA"	"CREATE PUBLIC DATABASE LINK"	"NO"	"YES"	"NO"
"EXP_FULL_DATABASE"	"SELECT ANY SEQUENCE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"DROP ANY SEQUENCE"	"NO"	"YES"	"NO"
"SYS"	"CREATE ANY SEQUENCE"	"NO"	"YES"	"NO"
"DBA"	"CREATE ANY SEQUENCE"	"NO"	"YES"	"NO"
"RECOVERY_CATALOG_OWNER"	"CREATE SEQUENCE"	"NO"	"YES"	"NO"
"DBA"	"CREATE ANY VIEW"	"NO"	"YES"	"NO"
"DBA"	"CREATE PUBLIC SYNONYM"	"NO"	"YES"	"NO"
"RECOVERY_CATALOG_OWNER"	"CREATE SYNONYM"	"NO"	"YES"	"NO"
"GSMADMIN_INTERNAL"	"ALTER ANY INDEX"	"NO"	"YES"	"NO"
"DBA"	"CREATE ANY INDEX"	"NO"	"YES"	"NO"
"DBA"	"CREATE CLUSTER"	"NO"	"YES"	"NO"
"SYS"	"DELETE ANY TABLE"	"NO"	"YES"	"NO"
"DBA"	"DELETE ANY TABLE"	"NO"	"YES"	"NO"
"DATAPUMP_IMP_FULL_DATABASE"	"DELETE ANY TABLE"	"NO"	"YES"	"NO"
"SYSTEM"	"SELECT ANY TABLE"	"NO"	"YES"	"NO"
"DATAPUMP_IMP_FULL_DATABASE"	"SELECT ANY TABLE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"COMMENT ANY TABLE"	"NO"	"YES"	"NO"
"GSMADMIN_INTERNAL"	"LOCK ANY TABLE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"ALTER ANY TABLE"	"NO"	"YES"	"NO"
"GGSYS"	"ALTER ANY TABLE"	"NO"	"YES"	"NO"
"RECOVERY_CATALOG_OWNER"	"CREATE TABLE"	"NO"	"YES"	"NO"
"DV_ACCTMGR"	"ALTER USER"	"NO"	"YES"	"NO"
"WMSYS"	"CREATE USER"	"NO"	"YES"	"NO"
"DBSNMP"	"UNLIMITED TABLESPACE"	"NO"	"YES"	"NO"
"CTXSYS"	"UNLIMITED TABLESPACE"	"NO"	"YES"	"NO"
"EM_EXPRESS_ALL"	"DROP TABLESPACE"	"NO"	"YES"	"NO"
"SYSDG"	"ALTER SESSION"	"NO"	"YES"	"NO"
"RECOVERY_CATALOG_OWNER"	"CREATE SESSION"	"NO"	"YES"	"NO"
"SYSDG"	"ALTER SYSTEM"	"NO"	"YES"	"NO"
"SYS"	"DROP ANY ANALYTIC VIEW"	"NO"	"YES"	"NO"
"DBA"	"DROP ANY ANALYTIC VIEW"	"NO"	"YES"	"NO"
"DBA"	"ALTER ANY HIERARCHY"	"NO"	"YES"	"NO"
"SYS"	"EXECUTE DYNAMIC MLE"	"NO"	"YES"	"NO"
"SYS"	"USE ANY JOB RESOURCE"	"NO"	"YES"	"NO"
"GSMADMIN_INTERNAL"	"CREATE ANY CREDENTIAL"	"NO"	"YES"	"NO"
"SYS"	"CREATE CREDENTIAL"	"NO"	"YES"	"NO"
"SYS"	"ALTER LOCKDOWN PROFILE"	"NO"	"YES"	"NO"
"CONNECT"	"SET CONTAINER"	"NO"	"YES"	"NO"
"EM_EXPRESS_ALL"	"SET CONTAINER"	"NO"	"YES"	"NO"
"EXP_FULL_DATABASE"	"ADMINISTER SQL MANAGEMENT OBJECT"	"NO"	"YES"	"NO"
"DBA"	"CREATE ANY CUBE BUILD PROCESS"	"NO"	"YES"	"NO"
"DBA"	"INSERT ANY MEASURE FOLDER"	"NO"	"YES"	"NO"
"OLAP_DBA"	"CREATE ANY MEASURE FOLDER"	"NO"	"YES"	"NO"
"SYS"	"SELECT ANY CUBE"	"NO"	"YES"	"NO"
"DBA"	"CREATE ANY CUBE"	"NO"	"YES"	"NO"
"SYS"	"CREATE CUBE"	"NO"	"YES"	"NO"
"DBA"	"SELECT ANY CUBE DIMENSION"	"NO"	"YES"	"NO"
"SYS"	"DROP ANY CUBE DIMENSION"	"NO"	"YES"	"NO"
"DBA"	"EXECUTE ASSEMBLY"	"NO"	"YES"	"NO"
"DBA"	"EXECUTE ANY ASSEMBLY"	"NO"	"YES"	"NO"
"SYS"	"CREATE ANY ASSEMBLY"	"NO"	"YES"	"NO"
"SYS"	"CREATE ASSEMBLY"	"NO"	"YES"	"NO"
"DBA"	"CREATE ASSEMBLY"	"NO"	"YES"	"NO"
"SYS"	"READ ANY FILE GROUP"	"NO"	"YES"	"NO"
"DBA"	"MANAGE ANY FILE GROUP"	"NO"	"YES"	"NO"
"SYS"	"MANAGE FILE GROUP"	"NO"	"YES"	"NO"
"DBA"	"EXECUTE ANY CLASS"	"NO"	"YES"	"NO"
"SCHEDULER_ADMIN"	"CREATE ANY JOB"	"YES"	"YES"	"NO"
"AUDSYS"	"CREATE JOB"	"NO"	"YES"	"NO"
"AVTUNE_PKG_ROLE"	"CREATE JOB"	"NO"	"YES"	"NO"
"SCHEDULER_ADMIN"	"CREATE JOB"	"YES"	"YES"	"NO"
"OEM_MONITOR"	"CREATE JOB"	"NO"	"YES"	"NO"
"CTXSYS"	"CREATE JOB"	"NO"	"YES"	"NO"
"SYS"	"EXECUTE ANY RULE"	"YES"	"YES"	"NO"
"SYS"	"CREATE ANY RULE"	"YES"	"YES"	"NO"
"DBA"	"CREATE RULE"	"NO"	"YES"	"NO"
"AQ_ADMINISTRATOR_ROLE"	"CREATE RULE"	"YES"	"YES"	"NO"
"SYS"	"EXPORT FULL DATABASE"	"NO"	"YES"	"NO"
"DBA"	"EXPORT FULL DATABASE"	"NO"	"YES"	"NO"
"DBA"	"CREATE ANY RULE SET"	"NO"	"YES"	"NO"
"SYS"	"ALTER ANY EVALUATION CONTEXT"	"YES"	"YES"	"NO"
"SYS"	"CREATE ANY EVALUATION CONTEXT"	"YES"	"YES"	"NO"
